db.file	Genome	DB	Region	FI.1	FI.2	FI.3	URL	dbScore
hg19.refseq.cgi.genebody.lincRNA.RData	hg19	refseq	cgi	genebody	lincRNA	NA	NA	2
hg19.refseq.cgi.genebody.miRNA.RData	hg19	refseq	cgi	genebody	miRNA	NA	NA	2
hg19.refseq.cgi.genebody.misc.RData	hg19	refseq	cgi	genebody	misc	NA	NA	2
hg19.refseq.cgi.genebody.protein_coding.RData	hg19	refseq	cgi	genebody	protein_coding	NA	NA	1
hg19.refseq.exon.altAcceptor.lincRNA.RData	hg19	refseq	exon	altAcceptor	lincRNA	NA	NA	3
hg19.refseq.exon.altAcceptor.miRNA.RData	hg19	refseq	exon	altAcceptor	miRNA	NA	NA	3
hg19.refseq.exon.altAcceptor.misc.RData	hg19	refseq	exon	altAcceptor	misc	NA	NA	3
hg19.refseq.exon.altAcceptor.protein_coding.RData	hg19	refseq	exon	altAcceptor	protein_coding	NA	NA	2
hg19.refseq.exon.altBoth.lincRNA.RData	hg19	refseq	exon	altBoth	lincRNA	NA	NA	3
hg19.refseq.exon.altBoth.misc.RData	hg19	refseq	exon	altBoth	misc	NA	NA	3
hg19.refseq.exon.altBoth.protein_coding.RData	hg19	refseq	exon	altBoth	protein_coding	NA	NA	2
hg19.refseq.exon.altDonor.lincRNA.RData	hg19	refseq	exon	altDonor	lincRNA	NA	NA	3
hg19.refseq.exon.altDonor.misc.RData	hg19	refseq	exon	altDonor	misc	NA	NA	3
hg19.refseq.exon.altDonor.protein_coding.RData	hg19	refseq	exon	altDonor	protein_coding	NA	NA	2
hg19.refseq.exon.canonical.lincRNA.RData	hg19	refseq	exon	canonical	lincRNA	NA	NA	2
hg19.refseq.exon.canonical.miRNA.RData	hg19	refseq	exon	canonical	miRNA	NA	NA	2
hg19.refseq.exon.canonical.misc.RData	hg19	refseq	exon	canonical	misc	NA	NA	2
hg19.refseq.exon.canonical.protein_coding.RData	hg19	refseq	exon	canonical	protein_coding	NA	NA	1
hg19.refseq.exon.polyA.lincRNA.RData	hg19	refseq	exon	polyA	lincRNA	NA	NA	3
hg19.refseq.exon.polyA.miRNA.RData	hg19	refseq	exon	polyA	miRNA	NA	NA	3
hg19.refseq.exon.polyA.misc.RData	hg19	refseq	exon	polyA	misc	NA	NA	3
hg19.refseq.exon.polyA.protein_coding.RData	hg19	refseq	exon	polyA	protein_coding	NA	NA	2
hg19.refseq.exon.promoter.lincRNA.RData	hg19	refseq	exon	promoter	lincRNA	NA	NA	3
hg19.refseq.exon.promoter.miRNA.RData	hg19	refseq	exon	promoter	miRNA	NA	NA	3
hg19.refseq.exon.promoter.misc.RData	hg19	refseq	exon	promoter	misc	NA	NA	3
hg19.refseq.exon.promoter.protein_coding.RData	hg19	refseq	exon	promoter	protein_coding	NA	NA	2
hg19.refseq.exon.variant.lincRNA.RData	hg19	refseq	exon	variant	lincRNA	NA	NA	3
hg19.refseq.exon.variant.miRNA.RData	hg19	refseq	exon	variant	miRNA	NA	NA	3
hg19.refseq.exon.variant.misc.RData	hg19	refseq	exon	variant	misc	NA	NA	3
hg19.refseq.exon.variant.protein_coding.RData	hg19	refseq	exon	variant	protein_coding	NA	NA	2
hg19.refseq.genebody.lincRNA.RData	hg19	refseq	genebody	lincRNA	NA	NA	NA	2
hg19.refseq.genebody.miRNA.RData	hg19	refseq	genebody	miRNA	NA	NA	NA	2
hg19.refseq.genebody.misc.RData	hg19	refseq	genebody	misc	NA	NA	NA	2
hg19.refseq.genebody.protein_coding.RData	hg19	refseq	genebody	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.lincRNA.RData	hg19	ensembl	tss	lincRNA	NA	NA	NA	2
hg19.ensembl.genebody.miRNA.RData	hg19	ensembl	tss	miRNA	NA	NA	NA	2
hg19.ensembl.genebody.misc.RData	hg19	ensembl	tss	misc	NA	NA	NA	2
hg19.ensembl.genebody.protein_coding.RData	hg19	ensembl	tss	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.pseudogene.RData	hg19	ensembl	tss	pseudogene	NA	NA	NA	2
hg19.refseq.genebody.lincRNA.RData	hg19	refseq	tss	lincRNA	NA	NA	NA	2
hg19.refseq.genebody.miRNA.RData	hg19	refseq	tss	miRNA	NA	NA	NA	2
hg19.refseq.genebody.misc.RData	hg19	refseq	tss	misc	NA	NA	NA	2
hg19.refseq.genebody.protein_coding.RData	hg19	refseq	tss	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.lincRNA.RData	hg19	ensembl	tes	lincRNA	NA	NA	NA	2
hg19.ensembl.genebody.miRNA.RData	hg19	ensembl	tes	miRNA	NA	NA	NA	2
hg19.ensembl.genebody.misc.RData	hg19	ensembl	tes	misc	NA	NA	NA	2
hg19.ensembl.genebody.protein_coding.RData	hg19	ensembl	tes	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.pseudogene.RData	hg19	ensembl	tes	pseudogene	NA	NA	NA	2
hg19.refseq.genebody.lincRNA.RData	hg19	refseq	tes	lincRNA	NA	NA	NA	2
hg19.refseq.genebody.miRNA.RData	hg19	refseq	tes	miRNA	NA	NA	NA	2
hg19.refseq.genebody.misc.RData	hg19	refseq	tes	misc	NA	NA	NA	2
hg19.refseq.genebody.protein_coding.RData	hg19	refseq	tes	protein_coding	NA	NA	NA	1
dm3.ensembl.exon.altAcceptor.misc.RData	dm3	ensembl	exon	altAcceptor	misc	NA	NA	3
dm3.ensembl.exon.altAcceptor.protein_coding.RData	dm3	ensembl	exon	altAcceptor	protein_coding	NA	NA	2
dm3.ensembl.exon.altAcceptor.pseudogene.RData	dm3	ensembl	exon	altAcceptor	pseudogene	NA	NA	3
dm3.ensembl.exon.altBoth.misc.RData	dm3	ensembl	exon	altBoth	misc	NA	NA	3
dm3.ensembl.exon.altBoth.protein_coding.RData	dm3	ensembl	exon	altBoth	protein_coding	NA	NA	2
dm3.ensembl.exon.altDonor.misc.RData	dm3	ensembl	exon	altDonor	misc	NA	NA	3
dm3.ensembl.exon.altDonor.protein_coding.RData	dm3	ensembl	exon	altDonor	protein_coding	NA	NA	2
dm3.ensembl.exon.altDonor.pseudogene.RData	dm3	ensembl	exon	altDonor	pseudogene	NA	NA	3
dm3.ensembl.exon.canonical.misc.RData	dm3	ensembl	exon	canonical	misc	NA	NA	2
dm3.ensembl.exon.canonical.protein_coding.RData	dm3	ensembl	exon	canonical	protein_coding	NA	NA	1
dm3.ensembl.exon.canonical.pseudogene.RData	dm3	ensembl	exon	canonical	pseudogene	NA	NA	2
dm3.ensembl.exon.polyA.misc.RData	dm3	ensembl	exon	polyA	misc	NA	NA	3
dm3.ensembl.exon.polyA.protein_coding.RData	dm3	ensembl	exon	polyA	protein_coding	NA	NA	2
dm3.ensembl.exon.polyA.pseudogene.RData	dm3	ensembl	exon	polyA	pseudogene	NA	NA	3
dm3.ensembl.exon.promoter.misc.RData	dm3	ensembl	exon	promoter	misc	NA	NA	3
dm3.ensembl.exon.promoter.protein_coding.RData	dm3	ensembl	exon	promoter	protein_coding	NA	NA	2
dm3.ensembl.exon.promoter.pseudogene.RData	dm3	ensembl	exon	promoter	pseudogene	NA	NA	3
dm3.ensembl.exon.variant.misc.RData	dm3	ensembl	exon	variant	misc	NA	NA	3
dm3.ensembl.exon.variant.protein_coding.RData	dm3	ensembl	exon	variant	protein_coding	NA	NA	2
dm3.ensembl.genebody.misc.RData	dm3	ensembl	genebody	misc	NA	NA	NA	2
dm3.ensembl.genebody.protein_coding.RData	dm3	ensembl	genebody	protein_coding	NA	NA	NA	1
dm3.ensembl.genebody.pseudogene.RData	dm3	ensembl	genebody	pseudogene	NA	NA	NA	2
dm3.refseq.exon.altAcceptor.misc.RData	dm3	refseq	exon	altAcceptor	misc	NA	NA	3
dm3.refseq.exon.altAcceptor.protein_coding.RData	dm3	refseq	exon	altAcceptor	protein_coding	NA	NA	2
dm3.refseq.exon.altBoth.misc.RData	dm3	refseq	exon	altBoth	misc	NA	NA	3
dm3.refseq.exon.altBoth.protein_coding.RData	dm3	refseq	exon	altBoth	protein_coding	NA	NA	2
dm3.refseq.exon.altDonor.misc.RData	dm3	refseq	exon	altDonor	misc	NA	NA	3
dm3.refseq.exon.altDonor.protein_coding.RData	dm3	refseq	exon	altDonor	protein_coding	NA	NA	2
dm3.refseq.exon.canonical.misc.RData	dm3	refseq	exon	canonical	misc	NA	NA	2
dm3.refseq.exon.canonical.protein_coding.RData	dm3	refseq	exon	canonical	protein_coding	NA	NA	1
dm3.refseq.exon.polyA.misc.RData	dm3	refseq	exon	polyA	misc	NA	NA	3
dm3.refseq.exon.polyA.protein_coding.RData	dm3	refseq	exon	polyA	protein_coding	NA	NA	2
dm3.refseq.exon.promoter.misc.RData	dm3	refseq	exon	promoter	misc	NA	NA	3
dm3.refseq.exon.promoter.protein_coding.RData	dm3	refseq	exon	promoter	protein_coding	NA	NA	2
dm3.refseq.exon.variant.misc.RData	dm3	refseq	exon	variant	misc	NA	NA	3
dm3.refseq.exon.variant.protein_coding.RData	dm3	refseq	exon	variant	protein_coding	NA	NA	2
dm3.refseq.genebody.misc.RData	dm3	refseq	genebody	misc	NA	NA	NA	2
dm3.refseq.genebody.protein_coding.RData	dm3	refseq	genebody	protein_coding	NA	NA	NA	1
dm3.ensembl.genebody.misc.RData	dm3	ensembl	tss	misc	NA	NA	NA	2
dm3.ensembl.genebody.protein_coding.RData	dm3	ensembl	tss	protein_coding	NA	NA	NA	1
dm3.ensembl.genebody.pseudogene.RData	dm3	ensembl	tss	pseudogene	NA	NA	NA	2
dm3.refseq.genebody.misc.RData	dm3	refseq	tss	misc	NA	NA	NA	2
dm3.refseq.genebody.protein_coding.RData	dm3	refseq	tss	protein_coding	NA	NA	NA	1
dm3.ensembl.genebody.misc.RData	dm3	ensembl	tes	misc	NA	NA	NA	2
dm3.ensembl.genebody.protein_coding.RData	dm3	ensembl	tes	protein_coding	NA	NA	NA	1
dm3.ensembl.genebody.pseudogene.RData	dm3	ensembl	tes	pseudogene	NA	NA	NA	2
dm3.refseq.genebody.misc.RData	dm3	refseq	tes	misc	NA	NA	NA	2
dm3.refseq.genebody.protein_coding.RData	dm3	refseq	tes	protein_coding	NA	NA	NA	1
